A,B,C,D,E,F,G,H,I
0.3,229.3,0.23,34.87,11.71,0.35,0.1,36.83,-32.93
0.6,229.44,0.24,36.26,11.68,0.38,0.3,36.22,-95.67
0.9,229.3,0.24,36.28,11.77,0.35,0.5,37.64,-61.06
1.21,229.18,0.25,36.94,11.59,0.38,0.7,35.85,-75.51
1.51,229.32,0.26,39.83,11.82,0.37,0.9,38.02,-117.58
1.81,229.38,0.24,35.13,11.8,0.35,1,37.91,-104.62
2.11,229.18,0.24,35.31,11.65,0.36,1.2,36.25,-53.6
2.41,229.17,0.25,37.98,11.76,0.37,1.4,37.2,-88.04
2.71,229.37,0.24,35.79,11.76,0.35,1.6,37.58,-81.45
3.01,229.19,0.24,36.57,11.59,0.38,1.8,35.91,-143.05
3.31,229.05,0.25,38.17,11.8,0.36,2,38.03,-127.45
3.61,229.33,0.24,35.81,11.76,0.35,2.2,37.53,-135.71
3.91,229.22,0,0,11.57,0.36,2.3,35.94,27.66
4.22,229.4,0.08,8.42,11.38,0.38,2.3,34.79,27.37
4.52,229.43,0.05,0.72,11.3,0.39,2.4,34.77,27.21
4.82,229.54,0.05,0.75,11.25,0.41,2.4,35.01,27.09
5.12,229.37,0.07,12.51,11.22,0.42,2.4,35.23,26.98
5.42,229.62,0.07,6.71,11.2,0.44,2.4,35.41,26.94
5.72,229.5,0.05,1.04,11.18,0.45,2.5,35.46,26.89
6.02,229.55,0.05,0.78,11.17,0.47,2.5,35.44,26.84
6.32,229.52,0.05,0.77,11.15,0.48,2.5,35.42,26.82
